resource	period	capacity_limit_mw
Northern_California_Ex_Solar	2035	41532
Northern_California_Ex_Solar	2040	41532
Northern_California_Ex_Solar	2045	41532
Northern_California_Ex_Wind	2020	0
Northern_California_Ex_Wind	2022	865.9
Northern_California_Ex_Wind	2026	865.9
Northern_California_Ex_Wind	2030	865.9
Northern_California_Ex_Wind	2035	865.9
Northern_California_Ex_Wind	2040	865.9
Northern_California_Ex_Wind	2045	865.9
NW_Ext_Tx_Wind	2020	0
NW_Ext_Tx_Wind	2022	1500
NW_Ext_Tx_Wind	2026	1500
NW_Ext_Tx_Wind	2030	1500
NW_Ext_Tx_Wind	2035	1500
NW_Ext_Tx_Wind	2040	1500
NW_Ext_Tx_Wind	2045	1500
Riverside_Palm_Springs_Solar	2020	57071
Riverside_Palm_Springs_Solar	2022	57071
Riverside_Palm_Springs_Solar	2026	57071
Riverside_Palm_Springs_Solar	2030	57071
Riverside_Palm_Springs_Solar	2035	57071
Riverside_Palm_Springs_Solar	2040	57071
Riverside_Palm_Springs_Solar	2045	57071
Sacramento_River_Solar	2020	23484
Sacramento_River_Solar	2022	23484
Sacramento_River_Solar	2026	23484
Sacramento_River_Solar	2030	23484
Sacramento_River_Solar	2035	23484
Sacramento_River_Solar	2040	23484
Sacramento_River_Solar	2045	23484
SCADSNV_Solar	2020	5608
SCADSNV_Solar	2022	5608
SCADSNV_Solar	2026	5608
SCADSNV_Solar	2030	5608
SCADSNV_Solar	2035	5608
SCADSNV_Solar	2040	5608
SCADSNV_Solar	2045	5608
SCADSNV_Wind	2020	0
SCADSNV_Wind	2022	0
SCADSNV_Wind	2026	0
SCADSNV_Wind	2030	0
SCADSNV_Wind	2035	0
SCADSNV_Wind	2040	0
SCADSNV_Wind	2045	0
Solano_Solar	2020	12025.0658336301
Solano_Solar	2022	12025.0658336301
Solano_Solar	2026	12025.0658336301
Solano_Solar	2030	12025.0658336301
Solano_Solar	2035	12025.0658336301
Solano_Solar	2040	12025.0658336301
Solano_Solar	2045	12025.0658336301
Solano_subzone_Solar	2020	0
Solano_subzone_Solar	2022	0
Solano_subzone_Solar	2026	0
Solano_subzone_Solar	2030	0
Solano_subzone_Solar	2035	0
Solano_subzone_Solar	2040	0
Solano_subzone_Solar	2045	0
Solano_subzone_Wind	2020	0
Solano_subzone_Wind	2022	18
Solano_subzone_Wind	2026	18
Solano_subzone_Wind	2030	18
Solano_subzone_Wind	2035	18
Solano_subzone_Wind	2040	18
Solano_subzone_Wind	2045	18
Solano_Wind	2020	0
Solano_Wind	2022	542
Solano_Wind	2026	542
Solano_Wind	2030	542
Solano_Wind	2035	542
Solano_Wind	2040	542
Solano_Wind	2045	542
Southern_California_Desert_Ex_Solar	2020	43961.4026887757
Southern_California_Desert_Ex_Solar	2022	43961.4026887757
Southern_California_Desert_Ex_Solar	2026	43961.4026887757
Southern_California_Desert_Ex_Solar	2030	43961.4026887757
Southern_California_Desert_Ex_Solar	2035	43961.4026887757
Southern_California_Desert_Ex_Solar	2040	43961.4026887757
Southern_California_Desert_Ex_Solar	2045	43961.4026887757
Southern_California_Desert_Ex_Wind	2020	0
Southern_California_Desert_Ex_Wind	2022	0
Southern_California_Desert_Ex_Wind	2026	0
Southern_California_Desert_Ex_Wind	2030	0
Southern_California_Desert_Ex_Wind	2035	0
Southern_California_Desert_Ex_Wind	2040	0
Southern_California_Desert_Ex_Wind	2045	0
Southern_Nevada_Solar	2020	148340.699068987
Southern_Nevada_Solar	2022	148340.699068987
Southern_Nevada_Solar	2026	148340.699068987
Southern_Nevada_Solar	2030	148340.699068987
Southern_Nevada_Solar	2035	148340.699068987
Southern_Nevada_Solar	2040	148340.699068987
Southern_Nevada_Solar	2045	148340.699068987
Southern_Nevada_Wind	2020	0
Southern_Nevada_Wind	2022	442.034565
Southern_Nevada_Wind	2026	442.034565
Southern_Nevada_Wind	2030	442.034565
Southern_Nevada_Wind	2035	442.034565
Southern_Nevada_Wind	2040	442.034565
Southern_Nevada_Wind	2045	442.034565
SW_Ext_Tx_Wind	2020	0
SW_Ext_Tx_Wind	2022	500
SW_Ext_Tx_Wind	2026	500
SW_Ext_Tx_Wind	2030	500
SW_Ext_Tx_Wind	2035	500
SW_Ext_Tx_Wind	2040	500
SW_Ext_Tx_Wind	2045	500
Tehachapi_Ex_Solar	2020	1488
Tehachapi_Ex_Solar	2022	1488
Tehachapi_Ex_Solar	2026	1488
Tehachapi_Ex_Solar	2030	1488
Tehachapi_Ex_Solar	2035	1488
Tehachapi_Ex_Solar	2040	1488
Tehachapi_Ex_Solar	2045	1488
Tehachapi_Solar	2020	3735.55694041027
Tehachapi_Solar	2022	3735.55694041027
Tehachapi_Solar	2026	3735.55694041027
Tehachapi_Solar	2030	3735.55694041027
Tehachapi_Solar	2035	3735.55694041027
Tehachapi_Solar	2040	3735.55694041027
Tehachapi_Solar	2045	3735.55694041027
Tehachapi_Wind	2020	0
Tehachapi_Wind	2022	24.3774991391714
Tehachapi_Wind	2026	24.3774991391714
Tehachapi_Wind	2030	24.3774991391714
Tehachapi_Wind	2035	24.3774991391714
Tehachapi_Wind	2040	24.3774991391714
Tehachapi_Wind	2045	24.3774991391714
Westlands_Ex_Solar	2020	4404
Westlands_Ex_Solar	2022	4404
Westlands_Ex_Solar	2026	4404
Westlands_Ex_Solar	2030	4404
Westlands_Ex_Solar	2035	4404
Westlands_Ex_Solar	2040	4404
Westlands_Ex_Solar	2045	4404
Westlands_Solar	2020	56150.5
Westlands_Solar	2022	56150.5
Westlands_Solar	2026	56150.5
Westlands_Solar	2030	56150.5
Westlands_Solar	2035	56150.5
Westlands_Solar	2040	56150.5
Westlands_Solar	2045	56150.5
Cape_Mendocino_Offshore_Wind	2020	0
Cape_Mendocino_Offshore_Wind	2022	0
Cape_Mendocino_Offshore_Wind	2026	0
Cape_Mendocino_Offshore_Wind	2030	6215.9714648064
Cape_Mendocino_Offshore_Wind	2035	6215.9714648064
Cape_Mendocino_Offshore_Wind	2040	6215.9714648064
Cape_Mendocino_Offshore_Wind	2045	6215.9714648064
Del_Norte_Offshore_Wind	2020	0
Del_Norte_Offshore_Wind	2022	0
Del_Norte_Offshore_Wind	2026	6604.4696813568
Del_Norte_Offshore_Wind	2030	6604.4696813568
Del_Norte_Offshore_Wind	2035	6604.4696813568
Del_Norte_Offshore_Wind	2040	6604.4696813568
Del_Norte_Offshore_Wind	2045	6604.4696813568
Diablo_Canyon_Offshore_Wind	2020	0
Diablo_Canyon_Offshore_Wind	2022	0
Diablo_Canyon_Offshore_Wind	2026	4324.31925867219
Diablo_Canyon_Offshore_Wind	2030	4324.31925867219
Diablo_Canyon_Offshore_Wind	2035	4324.31925867219
Diablo_Canyon_Offshore_Wind	2040	4324.31925867219
Diablo_Canyon_Offshore_Wind	2045	4324.31925867219
Humboldt_Bay_Offshore_Wind	2020	0
Humboldt_Bay_Offshore_Wind	2022	0
Humboldt_Bay_Offshore_Wind	2026	0
Humboldt_Bay_Offshore_Wind	2030	1607.03841268939
Humboldt_Bay_Offshore_Wind	2035	1607.03841268939
Humboldt_Bay_Offshore_Wind	2040	1607.03841268939
Humboldt_Bay_Offshore_Wind	2045	1607.03841268939
Morro_Bay_Offshore_Wind	2020	0
Morro_Bay_Offshore_Wind	2022	0
Morro_Bay_Offshore_Wind	2026	2419.20170435233
Morro_Bay_Offshore_Wind	2030	2419.20170435233
Morro_Bay_Offshore_Wind	2035	2419.20170435233
Morro_Bay_Offshore_Wind	2040	2419.20170435233
Morro_Bay_Offshore_Wind	2045	2419.20170435233
CAISO_New_Pumped_Storage	2020	0
CAISO_New_Pumped_Storage	2022	0
CAISO_New_Pumped_Storage	2026	4000
CAISO_New_Pumped_Storage	2030	4000
CAISO_New_Pumped_Storage	2035	4000
CAISO_New_Pumped_Storage	2040	4000
CAISO_New_Pumped_Storage	2045	4000
CAISO_New_Flow_Battery	2020	7472.18360063225
CAISO_New_Flow_Battery	2022	7040.71567108136
CAISO_New_Flow_Battery	2026	6870.95421267556
CAISO_New_Flow_Battery	2030	7022.77588986144
CAISO_New_Flow_Battery	2035	7624.26609395339
CAISO_New_Flow_Battery	2040	8357.36639870596
CAISO_New_Flow_Battery	2045	8872.38792265231
CAISO_New_Flow_Battery_2	2020	4333.19392004751
CAISO_New_Flow_Battery_2	2022	4396.96896788867
CAISO_New_Flow_Battery_2	2026	4505.23726391897
CAISO_New_Flow_Battery_2	2030	4662.80879441179
CAISO_New_Flow_Battery_2	2035	4963.55389645776
CAISO_New_Flow_Battery_2	2040	5330.10404883405
CAISO_New_Flow_Battery_2	2045	5587.61481080722
CAISO_New_Flow_Battery_3	2020	4333.19392004751
CAISO_New_Flow_Battery_3	2022	4396.96896788867
CAISO_New_Flow_Battery_3	2026	4505.23726391897
CAISO_New_Flow_Battery_3	2030	4662.80879441179
CAISO_New_Flow_Battery_3	2035	4963.55389645776
CAISO_New_Flow_Battery_3	2040	5330.10404883405
CAISO_New_Flow_Battery_3	2045	5587.61481080722
CAISO_New_Flow_Battery_4	2020	4333.19392004751
CAISO_New_Flow_Battery_4	2022	4396.96896788867
CAISO_New_Flow_Battery_4	2026	4505.23726391897
CAISO_New_Flow_Battery_4	2030	4662.80879441179
CAISO_New_Flow_Battery_4	2035	4963.55389645776
CAISO_New_Flow_Battery_4	2040	5330.10404883405
CAISO_New_Flow_Battery_4	2045	5587.61481080722
CAISO_New_Li_Battery	2020	8305.39360063225
CAISO_New_Li_Battery	2022	8322.75900441469
CAISO_New_Li_Battery	2026	8350.26421267555
CAISO_New_Li_Battery	2030	8502.08588986144
CAISO_New_Li_Battery	2035	9103.57609395339
CAISO_New_Li_Battery	2040	9836.67639870596
CAISO_New_Li_Battery	2045	10351.6979226523
CAISO_BTM_Li_Battery	2020	99999
CAISO_BTM_Li_Battery	2022	99999
CAISO_BTM_Li_Battery	2026	99999
CAISO_BTM_Li_Battery	2030	99999
CAISO_BTM_Li_Battery	2035	99999
CAISO_BTM_Li_Battery	2040	99999
CAISO_BTM_Li_Battery	2045	99999
CAISO_New_Li_Battery_2	2020	4333.19392004751
CAISO_New_Li_Battery_2	2022	4396.96896788867
CAISO_New_Li_Battery_2	2026	4505.23726391897
CAISO_New_Li_Battery_2	2030	4662.80879441179
CAISO_New_Li_Battery_2	2035	4963.55389645776
CAISO_New_Li_Battery_2	2040	5330.10404883405
CAISO_New_Li_Battery_2	2045	5587.61481080722
CAISO_New_Li_Battery_3	2020	4333.19392004751
CAISO_New_Li_Battery_3	2022	4396.96896788867
CAISO_New_Li_Battery_3	2026	4505.23726391897
CAISO_New_Li_Battery_3	2030	4662.80879441179
CAISO_New_Li_Battery_3	2035	4963.55389645776
CAISO_New_Li_Battery_3	2040	5330.10404883405
CAISO_New_Li_Battery_3	2045	5587.61481080722
CAISO_New_Li_Battery_4	2020	4333.19392004751
CAISO_New_Li_Battery_4	2022	4396.96896788867
CAISO_New_Li_Battery_4	2026	4505.23726391897
CAISO_New_Li_Battery_4	2030	4662.80879441179
CAISO_New_Li_Battery_4	2035	4963.55389645776
CAISO_New_Li_Battery_4	2040	5330.10404883405
CAISO_New_Li_Battery_4	2045	5587.61481080722
CAISO_Shed_DR_Tranche1	2020	0
CAISO_Shed_DR_Tranche1	2022	0
CAISO_Shed_DR_Tranche1	2026	0
CAISO_Shed_DR_Tranche1	2030	0
CAISO_Shed_DR_Tranche1	2035	0
CAISO_Shed_DR_Tranche1	2040	0
CAISO_Shed_DR_Tranche1	2045	0
CAISO_Shed_DR_Tranche2	2020	0
CAISO_Shed_DR_Tranche2	2022	0
CAISO_Shed_DR_Tranche2	2026	0
CAISO_Shed_DR_Tranche2	2030	0
CAISO_Shed_DR_Tranche2	2035	0
CAISO_Shed_DR_Tranche2	2040	0
CAISO_Shed_DR_Tranche2	2045	0
CAISO_Shed_DR_Tranche3	2020	440.704154
CAISO_Shed_DR_Tranche3	2022	440.704154
CAISO_Shed_DR_Tranche3	2026	440.704154
CAISO_Shed_DR_Tranche3	2030	440.704154
CAISO_Shed_DR_Tranche3	2035	440.704154
CAISO_Shed_DR_Tranche3	2040	440.704154
CAISO_Shed_DR_Tranche3	2045	440.704154
CAISO_Shed_DR_Tranche4	2020	670.511618
CAISO_Shed_DR_Tranche4	2022	670.511618
CAISO_Shed_DR_Tranche4	2026	670.511618
CAISO_Shed_DR_Tranche4	2030	670.511618
CAISO_Shed_DR_Tranche4	2035	670.511618
CAISO_Shed_DR_Tranche4	2040	670.511618
CAISO_Shed_DR_Tranche4	2045	670.511618
CAISO_Shed_DR_Tranche5	2020	605.067567
CAISO_Shed_DR_Tranche5	2022	605.067567
CAISO_Shed_DR_Tranche5	2026	605.067567
CAISO_Shed_DR_Tranche5	2030	605.067567
CAISO_Shed_DR_Tranche5	2035	605.067567
CAISO_Shed_DR_Tranche5	2040	605.067567
CAISO_Shed_DR_Tranche5	2045	605.067567
CAISO_Shed_DR_Tranche6	2020	440.637926
CAISO_Shed_DR_Tranche6	2022	440.637926
CAISO_Shed_DR_Tranche6	2026	440.637926
CAISO_Shed_DR_Tranche6	2030	440.637926
CAISO_Shed_DR_Tranche6	2035	440.637926
CAISO_Shed_DR_Tranche6	2040	440.637926
CAISO_Shed_DR_Tranche6	2045	440.637926
CAISO_Shed_DR_Tranche7	2020	339.031366
CAISO_Shed_DR_Tranche7	2022	339.031366
CAISO_Shed_DR_Tranche7	2026	339.031366
CAISO_Shed_DR_Tranche7	2030	339.031366
CAISO_Shed_DR_Tranche7	2035	339.031366
CAISO_Shed_DR_Tranche7	2040	339.031366
CAISO_Shed_DR_Tranche7	2045	339.031366
CAISO_Shed_DR_Tranche8	2020	250.370835
CAISO_Shed_DR_Tranche8	2022	250.370835
CAISO_Shed_DR_Tranche8	2026	250.370835
CAISO_Shed_DR_Tranche8	2030	250.370835
CAISO_Shed_DR_Tranche8	2035	250.370835
CAISO_Shed_DR_Tranche8	2040	250.370835
CAISO_Shed_DR_Tranche8	2045	250.370835
